axis_id,knob_name,knob_value,seed,estimator,variant,hyperparam_value,estimate,v_true,ess_ratio_raw,max_weight_raw,support_proxy,ess_ratio_used
06,alpha,1.0,1000,dm,n2500,nan,0.718297547047362,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,nan
06,alpha,1.0,1000,ips,n2500,nan,0.7236219114293406,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.8218918190349501
06,alpha,1.0,1000,snips,n2500,nan,0.7237207986215761,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.8218918190349501
06,alpha,1.0,1000,clipped_ips,n2500,1.5980210689877474,0.7046758271569733,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.8395336520958737
06,alpha,1.0,1000,dr,n2500,nan,0.7228661407611705,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.8218918190349501
06,alpha,1.0,1000,switch_dr,n2500,1.7570985576501466,0.7253714940080889,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.7939982604476961
06,alpha,1.0,1000,dros,n2500,2.553671336928743,0.7221121086493477,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.933500311018699
06,alpha,0.9,1000,dm,n2500,nan,0.6964677923426259,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,nan
06,alpha,0.9,1000,ips,n2500,nan,0.7236219114293406,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.8218918190349501
06,alpha,0.9,1000,snips,n2500,nan,0.7237207986215761,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.8218918190349501
06,alpha,0.9,1000,clipped_ips,n2500,1.5980210689877474,0.7046758271569733,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.8395336520958737
06,alpha,0.9,1000,dr,n2500,nan,0.7229485496885907,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.8218918190349501
06,alpha,0.9,1000,switch_dr,n2500,1.7570985576501466,0.7213947623019328,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.7939982604476961
06,alpha,0.9,1000,dros,n2500,2.553671336928743,0.7111041981174502,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.933500311018699
06,alpha,0.75,1000,dm,n2500,nan,0.6637231602855216,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,nan
06,alpha,0.75,1000,ips,n2500,nan,0.7236219114293406,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.8218918190349501
06,alpha,0.75,1000,snips,n2500,nan,0.7237207986215761,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.8218918190349501
06,alpha,0.75,1000,clipped_ips,n2500,1.5980210689877474,0.7046758271569733,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.8395336520958737
06,alpha,0.75,1000,dr,n2500,nan,0.7230721630797209,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.8218918190349501
06,alpha,0.75,1000,switch_dr,n2500,1.7570985576501466,0.7154296647426986,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.7939982604476961
06,alpha,0.75,1000,dros,n2500,2.553671336928743,0.6945923323196039,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.933500311018699
06,alpha,0.5,1000,dm,n2500,nan,0.6091487735236811,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,nan
06,alpha,0.5,1000,ips,n2500,nan,0.7236219114293406,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.8218918190349501
06,alpha,0.5,1000,snips,n2500,nan,0.7237207986215761,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.8218918190349501
06,alpha,0.5,1000,clipped_ips,n2500,1.5980210689877474,0.7046758271569733,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.8395336520958737
06,alpha,0.5,1000,dr,n2500,nan,0.7232781853982714,0.7153918288961995,0.8218918190349501,2.426776122073997,0.0,0.8218918190349501
