axis_id,knob_name,knob_value,seed,estimator,variant,hyperparam_value,estimate,v_true,ess_ratio_raw,max_weight_raw,support_proxy,ess_ratio_used
10,candidate_beta_eval,incumbent,1000,_incumbent_mean_r,blog0.5,nan,0.5658944589168604,0.5570424020721642,0.7372134244119349,3.060687019869339,0.0,nan
10,candidate_beta_eval,0.25,1000,dm,blog0.5,nan,0.536421439719325,0.5378322675656592,0.9952528455753876,1.1915128721950932,0.0,nan
10,candidate_beta_eval,0.25,1000,ips,blog0.5,nan,0.5475628949755053,0.5378322675656592,0.9952528455753876,1.1915128721950932,0.0,0.9952528455753876
10,candidate_beta_eval,0.25,1000,snips,blog0.5,nan,0.5464022019692315,0.5378322675656592,0.9952528455753876,1.1915128721950932,0.0,0.9952528455753876
10,candidate_beta_eval,0.25,1000,clipped_ips,blog0.5,1.1022082821000718,0.5474452691024235,0.5378322675656592,0.9952528455753876,1.1915128721950932,0.0,0.9958572261232184
10,candidate_beta_eval,0.25,1000,dr,blog0.5,nan,0.5543177785839899,0.5378322675656592,0.9952528455753876,1.1915128721950932,0.0,0.9952528455753876
10,candidate_beta_eval,0.25,1000,switch_dr,blog0.5,1.1240483126024379,0.5588960060304129,0.5378322675656592,0.9952528455753876,1.1915128721950932,0.0,0.9462500435683726
10,candidate_beta_eval,0.25,1000,dros,blog0.5,1.2148630971299914,0.5472214223508854,0.5378322675656592,0.9952528455753876,1.1915128721950932,0.0,0.9999575476282475
10,candidate_beta_eval,0.5,1000,dm,blog0.5,nan,0.5537490738297149,0.5570424020721642,1.0,1.0,0.0,nan
10,candidate_beta_eval,0.5,1000,ips,blog0.5,nan,0.5658944589168604,0.5570424020721642,1.0,1.0,0.0,1.0
10,candidate_beta_eval,0.5,1000,snips,blog0.5,nan,0.5658944589168604,0.5570424020721642,1.0,1.0,0.0,1.0
10,candidate_beta_eval,0.5,1000,clipped_ips,blog0.5,1.0,0.5658944589168604,0.5570424020721642,1.0,1.0,0.0,1.0
10,candidate_beta_eval,0.5,1000,dr,blog0.5,nan,0.5736849168850451,0.5570424020721642,1.0,1.0,0.0,1.0
10,candidate_beta_eval,0.5,1000,switch_dr,blog0.5,1.0,0.5736849168850451,0.5570424020721642,1.0,1.0,0.0,1.0
