axis_id,knob_name,knob_value,seed,estimator,variant,hyperparam_value,estimate,v_true,ess_ratio_raw,max_weight_raw,support_proxy,ess_ratio_used
09,confounding_strength,0.0,1000,dm,,nan,0.693961851056234,0.7153918288961995,0.8232935527932628,2.754669514724757,0.0,nan
09,confounding_strength,0.0,1000,ips,,nan,0.7085177436183483,0.7153918288961995,0.8232935527932628,2.754669514724757,0.0,0.8232935527932628
09,confounding_strength,0.0,1000,snips,,nan,0.7099846032609718,0.7153918288961995,0.8232935527932628,2.754669514724757,0.0,0.8232935527932628
09,confounding_strength,0.0,1000,clipped_ips,,1.5995232754150337,0.6888168292183323,0.7153918288961995,0.8232935527932628,2.754669514724757,0.0,0.8416560254835113
09,confounding_strength,0.0,1000,dr,,nan,0.7110009118767968,0.7153918288961995,0.8232935527932628,2.754669514724757,0.0,0.8232935527932628
09,confounding_strength,0.0,1000,switch_dr,,1.7601294045049658,0.7061269912622188,0.7153918288961995,0.8232935527932628,2.754669514724757,0.0,0.7967057249315806
09,confounding_strength,0.0,1000,dros,,2.5584747085944377,0.701132954457424,0.7153918288961995,0.8232935527932628,2.754669514724757,0.0,0.9361536836851594
09,confounding_strength,0.0,1000,ips,oracle_ps,nan,0.7085177436183483,0.7153918288961995,0.8232935527932628,2.754669514724757,0.0,0.8232935527932628
09,confounding_strength,0.0,1001,dm,,nan,0.6935004074072045,0.7153918288961995,0.8229721385249714,2.781110189110554,0.0,nan
09,confounding_strength,0.0,1001,ips,,nan,0.7166815418566701,0.7153918288961995,0.8229721385249714,2.781110189110554,0.0,0.8229721385249714
09,confounding_strength,0.0,1001,snips,,nan,0.7177695445661616,0.7153918288961995,0.8229721385249714,2.781110189110554,0.0,0.8229721385249714
09,confounding_strength,0.0,1001,clipped_ips,,1.6041897834421084,0.6975194780757389,0.7153918288961995,0.8229721385249714,2.781110189110554,0.0,0.8411930187915397
09,confounding_strength,0.0,1001,dr,,nan,0.7182901570318093,0.7153918288961995,0.8229721385249714,2.781110189110554,0.0,0.8229721385249714
09,confounding_strength,0.0,1001,switch_dr,,1.763651288108247,0.7146562911209846,0.7153918288961995,0.8229721385249714,2.781110189110554,0.0,0.796279587459641
09,confounding_strength,0.0,1001,dros,,2.5734248613000386,0.7060645278763621,0.7153918288961995,0.8229721385249714,2.781110189110554,0.0,0.935557087448885
09,confounding_strength,0.0,1001,ips,oracle_ps,nan,0.7166815418566701,0.7153918288961995,0.8229721385249714,2.781110189110554,0.0,0.8229721385249714
09,confounding_strength,0.0,1002,dm,,nan,0.6943527932371736,0.7153918288961995,0.8228948802011293,2.723435138815123,0.0,nan
09,confounding_strength,0.0,1002,ips,,nan,0.7268788400870594,0.7153918288961995,0.8228948802011293,2.723435138815123,0.0,0.8228948802011293
09,confounding_strength,0.0,1002,snips,,nan,0.7234031274859842,0.7153918288961995,0.8228948802011293,2.723435138815123,0.0,0.8228948802011293
09,confounding_strength,0.0,1002,clipped_ips,,1.6101944269525486,0.707082038805026,0.7153918288961995,0.8228948802011293,2.723435138815123,0.0,0.841373103820217
09,confounding_strength,0.0,1002,dr,,nan,0.7211286140301787,0.7153918288961995,0.8228948802011293,2.723435138815123,0.0,0.8228948802011293
