knob_value,oracle_unsupported_mass_mean,oracle_unsupported_mass_se,n_seeds
0.0,0.0,0.0,40
0.1,0.022702527207518964,1.6749594776822603e-05,40
0.2,0.05274332127754463,4.177485599275045e-05,40
0.3,0.09211345415579601,6.782777766213404e-05,40
0.4,0.14341630745190964,9.567315974581147e-05,40
