regime_beta_log,estimator,threshold,false_go_abs,false_stop_abs
1.0,ips,0.68,0.009375,0.003125
1.0,ips,0.7,0.0,0.028125
1.0,ips,0.72,0.04375,0.0
1.0,ips,0.74,0.0125,0.0
1.0,ips,0.76,0.0,0.015625
1.0,ips,0.78,0.0,0.05625
1.0,ips,0.8,0.03125,0.0
1.0,ips,0.82,0.009375,0.0
1.0,ips,0.84,0.0,0.0
1.0,snips,0.5,0.0,0.0
1.0,snips,0.52,0.0,0.0125
1.0,snips,0.54,0.05,0.015625
1.0,snips,0.56,0.053125,0.009375
1.0,snips,0.58,0.059375,0.0
1.0,snips,0.6,0.00625,0.025
1.0,snips,0.62,0.0375,0.034375
1.0,snips,0.64,0.01875,0.003125
1.0,snips,0.66,0.0,0.075
1.0,snips,0.68,0.00625,0.0
1.0,snips,0.7,0.0,0.015625
1.0,snips,0.72,0.034375,0.0
1.0,snips,0.74,0.00625,0.0
1.0,snips,0.76,0.0,0.00625
1.0,snips,0.78,0.0,0.0375
1.0,snips,0.8,0.01875,0.0
1.0,snips,0.82,0.003125,0.0
1.0,snips,0.84,0.0,0.0
1.0,clipped_ips,0.5,0.0,0.0
1.0,clipped_ips,0.52,0.0,0.0125
1.0,clipped_ips,0.54,0.04375,0.015625
1.0,clipped_ips,0.56,0.04375,0.009375
1.0,clipped_ips,0.58,0.059375,0.003125
1.0,clipped_ips,0.6,0.00625,0.034375
1.0,clipped_ips,0.62,0.021875,0.05625
1.0,clipped_ips,0.64,0.015625,0.028125
1.0,clipped_ips,0.66,0.0,0.09375
1.0,clipped_ips,0.68,0.003125,0.025
1.0,clipped_ips,0.7,0.0,0.084375
1.0,clipped_ips,0.72,0.009375,0.015625
1.0,clipped_ips,0.74,0.0,0.0625
1.0,clipped_ips,0.76,0.0,0.1
1.0,clipped_ips,0.78,0.0,0.11875
1.0,clipped_ips,0.8,0.0,0.0
1.0,clipped_ips,0.82,0.0,0.0
1.0,clipped_ips,0.84,0.0,0.0
1.0,dr,0.5,0.0,0.0
1.0,dr,0.52,0.0,0.01875
1.0,dr,0.54,0.053125,0.01875
1.0,dr,0.56,0.04375,0.009375
1.0,dr,0.58,0.0625,0.0
1.0,dr,0.6,0.00625,0.028125
1.0,dr,0.62,0.021875,0.034375
1.0,dr,0.64,0.021875,0.00625
1.0,dr,0.66,0.0,0.065625
1.0,dr,0.68,0.00625,0.0
1.0,dr,0.7,0.0,0.015625
1.0,dr,0.72,0.0375,0.0
1.0,dr,0.74,0.003125,0.0
1.0,dr,0.76,0.0,0.00625
1.0,dr,0.78,0.0,0.040625
1.0,dr,0.8,0.021875,0.0
1.0,dr,0.82,0.003125,0.0
1.0,dr,0.84,0.0,0.0
1.0,switch_dr,0.5,0.0,0.0
1.0,switch_dr,0.52,0.0,0.003125
1.0,switch_dr,0.54,0.0625,0.003125
1.0,switch_dr,0.56,0.0625,0.003125
1.0,switch_dr,0.58,0.06875,0.0
1.0,switch_dr,0.6,0.003125,0.028125
1.0,switch_dr,0.62,0.021875,0.0375
1.0,switch_dr,0.64,0.00625,0.00625
1.0,switch_dr,0.66,0.0,0.078125
1.0,switch_dr,0.68,0.003125,0.0
1.0,switch_dr,0.7,0.0,0.028125
1.0,switch_dr,0.72,0.025,0.0
1.0,switch_dr,0.74,0.003125,0.0
1.0,switch_dr,0.76,0.0,0.003125
1.0,switch_dr,0.78,0.0,0.071875
1.0,switch_dr,0.8,0.00625,0.0
1.0,switch_dr,0.82,0.003125,0.0
1.0,switch_dr,0.84,0.0,0.0
1.0,dros,0.5,0.0,0.0
1.0,dros,0.52,0.0,0.0
1.0,dros,0.54,0.059375,0.0
1.0,dros,0.56,0.0375,0.0
1.0,dros,0.58,0.034375,0.0
1.0,dros,0.6,0.0,0.034375
1.0,dros,0.62,0.003125,0.046875
1.0,dros,0.64,0.0,0.00625
1.0,dros,0.66,0.0,0.109375
1.0,dros,0.68,0.0,0.0
1.0,dros,0.7,0.0,0.034375
1.0,dros,0.72,0.003125,0.0
1.0,dros,0.74,0.0,0.0
1.0,dros,0.76,0.0,0.003125
1.0,dros,0.78,0.0,0.090625
1.0,dros,0.8,0.0,0.0
1.0,dros,0.82,0.0,0.0
1.0,dros,0.84,0.0,0.0
4.0,dm,0.5,0.0,0.0
4.0,dm,0.52,0.0,0.0
4.0,dm,0.54,0.003125,0.0
4.0,dm,0.56,0.0,0.0
4.0,dm,0.58,0.0,0.0
4.0,dm,0.6,0.0,0.04375
4.0,dm,0.62,0.0,0.11875
4.0,dm,0.64,0.0,0.003125
4.0,dm,0.66,0.0,0.125
4.0,dm,0.68,0.0,0.0
4.0,dm,0.7,0.0,0.125
4.0,dm,0.72,0.0,0.0
4.0,dm,0.74,0.0,0.0
4.0,dm,0.76,0.0,0.103125
4.0,dm,0.78,0.0,0.125
4.0,dm,0.8,0.0,0.0
4.0,dm,0.82,0.0,0.0
4.0,dm,0.84,0.0,0.0
4.0,ips,0.5,0.0,0.003125
4.0,ips,0.52,0.0,0.03125
4.0,ips,0.54,0.053125,0.03125
4.0,ips,0.56,0.078125,0.025
4.0,ips,0.58,0.078125,0.0
4.0,ips,0.6,0.015625,0.03125
4.0,ips,0.62,0.040625,0.0375
4.0,ips,0.64,0.0375,0.0125
4.0,ips,0.66,0.00625,0.0625
4.0,ips,0.68,0.009375,0.0
4.0,ips,0.7,0.0,0.01875
4.0,ips,0.72,0.034375,0.0
4.0,ips,0.74,0.003125,0.0
4.0,ips,0.76,0.0,0.0
4.0,ips,0.78,0.0,0.0375
4.0,ips,0.8,0.009375,0.0
4.0,ips,0.82,0.0,0.0
4.0,ips,0.84,0.0,0.0
4.0,snips,0.5,0.0,0.0
4.0,snips,0.52,0.0,0.025
4.0,snips,0.54,0.059375,0.025
4.0,snips,0.56,0.075,0.021875
4.0,snips,0.58,0.08125,0.0
4.0,snips,0.6,0.015625,0.03125
4.0,snips,0.62,0.03125,0.034375
4.0,snips,0.64,0.028125,0.0
4.0,snips,0.66,0.003125,0.0625
4.0,snips,0.68,0.00625,0.0
4.0,snips,0.7,0.0,0.0125
4.0,snips,0.72,0.028125,0.0
4.0,snips,0.74,0.0,0.0
4.0,snips,0.76,0.0,0.003125
4.0,snips,0.78,0.0,0.03125
4.0,snips,0.8,0.0125,0.0
4.0,snips,0.82,0.0,0.0
4.0,snips,0.84,0.0,0.0
4.0,clipped_ips,0.5,0.0,0.075
4.0,clipped_ips,0.52,0.0,0.171875
4.0,clipped_ips,0.54,0.0,0.14375
4.0,clipped_ips,0.56,0.0,0.10625
