seed,gamma,candidate,lam,lo,hi
1000,0.5,3.0,1.0,0.7059622892682418,0.705962289268242
1000,0.5,3.0,1.0905077326652577,0.6637637929151773,0.7480734732240452
1000,0.5,3.0,1.189207115002721,0.6215057287954063,0.790066059341101
1000,0.5,3.0,1.2968395546510096,0.5792153244199315,0.8319253596913735
1000,0.5,3.0,1.4142135623730951,0.5369007009569029,0.8736168759451152
1000,0.5,3.0,1.5422108254079407,0.494594467798379,0.9150986932105053
1000,0.5,3.0,1.681792830507429,0.45232665544311473,0.956389812493956
1000,0.5,3.0,1.8340080864093424,0.4101700393808103,0.9974368850860074
1000,0.5,3.0,2.0,0.3681192969768899,1.0382161467901252
1000,0.5,3.0,2.1810154653305154,0.3262968996946725,1.078710829070156
1000,0.5,3.0,2.378414230005442,0.2847082540810469,1.1187885692022137
1000,0.5,3.0,2.5936791093020193,0.24340213325878166,1.1585418177454867
1000,0.5,3.0,2.82842712474619,0.20235835756122708,1.1978006627706907
1000,0.5,3.0,3.0844216508158815,0.1616675792343576,1.236669931743007
1000,0.5,3.0,3.363585661014858,0.12114093230573858,1.2752008482380535
1000,0.5,3.0,3.668016172818685,0.08083091210857381,1.3133284627758512
1000,0.5,3.0,4.0,0.04095206686738455,1.3511111397780795
1000,0.5,3.0,4.362030930661031,0.0014161390849862707,1.3885119804038215
1000,0.5,3.0,4.756828460010884,-0.037970011496040686,1.425381792407323
1000,0.5,3.0,5.187358218604039,-0.07710942384523327,1.4617048381620736
1000,0.5,3.0,5.656854249492381,-0.1159637135880591,1.4974367355471476
1000,0.5,3.0,6.168843301631764,-0.154468379392956,1.5326611115246038
1000,0.5,3.0,6.727171322029717,-0.1926563265352359,1.567515916604127
1000,0.5,3.0,7.336032345637371,-0.23039083733936316,1.6022254034907537
1000,0.5,3.0,8.0,-0.2677395357793517,1.6367554856490334
1000,0.5,5.0,1.0,0.7760492376744477,0.7760492376744479
1000,0.5,5.0,1.0905077326652577,0.7351794539922388,0.8168560777539328
1000,0.5,5.0,1.189207115002721,0.6942699694587147,0.8575756951500998
1000,0.5,5.0,1.2968395546510096,0.6533458491674032,0.8981626366924684
1000,0.5,5.0,1.4142135623730951,0.6124274210141866,0.9386105362058796
1000,0.5,5.0,1.5422108254079407,0.5715438255777547,0.9788828910180907
1000,0.5,5.0,1.681792830507429,0.5306705796206101,1.0189662850892613
1000,0.5,5.0,1.8340080864093424,0.48985303539718433,1.058827170043632
1000,0.5,5.0,2.0,0.44911481570253103,1.0984279129355834
1000,0.5,5.0,2.1810154653305154,0.4085379683252829,1.1376656666796288
1000,0.5,5.0,2.378414230005442,0.36811862113571814,1.1765718043559534
1000,0.5,5.0,2.5936791093020193,0.32797559207356214,1.2151251601971647
1000,0.5,5.0,2.82842712474619,0.28812879408242703,1.253341302180241
1000,0.5,5.0,3.0844216508158815,0.24866605705894668,1.2912420202387942
1000,0.5,5.0,3.363585661014858,0.2094935489045334,1.3288026622931153
1000,0.5,5.0,3.668016172818685,0.1707158958896828,1.3660624257447427
1000,0.5,5.0,4.0,0.13211641388421588,1.403003054179467
1000,0.5,5.0,4.362030930661031,0.09374948861916911,1.4394144230527457
1000,0.5,5.0,4.756828460010884,0.055816627898535504,1.4753188652751221
1000,0.5,5.0,5.187358218604039,0.018322490469559017,1.510696930732475
1000,0.5,5.0,5.656854249492381,-0.018854176347752088,1.5455671591895215
1000,0.5,5.0,6.168843301631764,-0.055970163726150324,1.5801993592936954
1000,0.5,5.0,6.727171322029717,-0.09266349081698509,1.6146034533147042
1000,0.5,5.0,7.336032345637371,-0.1292115920478369,1.6488914619174153
1000,0.5,5.0,8.0,-0.16541389597414893,1.6828125426008145
1001,0.5,3.0,1.0,0.7121587751071263,0.7121587751071264
1001,0.5,3.0,1.0905077326652577,0.6701958193317622,0.7540350456356435
1001,0.5,3.0,1.189207115002721,0.6281679553033753,0.7958057237224597
1001,0.5,3.0,1.2968395546510096,0.5860901015841902,0.8374220521394918
1001,0.5,3.0,1.4142135623730951,0.5440253320346087,0.8788335514711981
1001,0.5,3.0,1.5422108254079407,0.5019949784421553,0.9200256850564306
1001,0.5,3.0,1.681792830507429,0.4600758876884281,0.9610078958649018
1001,0.5,3.0,1.8340080864093424,0.4182861665208241,1.0017941529286518
1001,0.5,3.0,2.0,0.3766215616809895,1.0423853082073395
