axis_id,knob_name,knob_value,seed,estimator,variant,hyperparam_value,estimate,ci_lo,ci_hi,gt_value,n_boot,alpha
11,dataset,optdigits,1000,dm,q_good,nan,0.9361465190280246,0.9317333046843198,0.9399350078507009,0.9379271525435664,1000,0.05
11,dataset,optdigits,1000,ips,q_good,nan,0.9430474681214654,0.9034684565604009,0.9859886267886889,0.9379271525435664,1000,0.05
11,dataset,optdigits,1000,snips,q_good,nan,0.9406776123541316,0.9308778322923125,0.949753241385206,0.9379271525435664,1000,0.05
11,dataset,optdigits,1000,clipped_ips,q_good,2.1945952696978264,0.9294996116085791,0.8894771338646799,0.9711397816571785,0.9379271525435664,1000,0.05
11,dataset,optdigits,1000,dr,q_good,nan,0.9400762591784779,0.931112847887296,0.9488136060840882,0.9379271525435664,1000,0.05
11,dataset,optdigits,1000,switch_dr,q_good,2.278646299687768,0.9352491138445647,0.9290947899900931,0.9406284622785243,0.9379271525435664,1000,0.05
11,dataset,optdigits,1000,dros,q_good,4.816248397780075,0.9376504623445057,0.9323107771345013,0.9430315726372047,0.9379271525435664,1000,0.05
11,dataset,satimage,1000,dm,q_good,nan,0.826127357706313,0.819275364474057,0.8333357263840501,0.817651173460869,1000,0.05
11,dataset,satimage,1000,ips,q_good,nan,0.8328357692664625,0.8021390768228258,0.8630988497978873,0.817651173460869,1000,0.05
11,dataset,satimage,1000,snips,q_good,nan,0.8259985458126937,0.8103635978763726,0.8407356251276066,0.817651173460869,1000,0.05
11,dataset,satimage,1000,clipped_ips,q_good,1.9291558672189921,0.8246658600100581,0.7937729788823369,0.8541542149127732,0.817651173460869,1000,0.05
11,dataset,satimage,1000,dr,q_good,nan,0.8215851388935309,0.8071563672275057,0.8353165448756685,0.817651173460869,1000,0.05
11,dataset,satimage,1000,switch_dr,q_good,2.0756345078419542,0.8324794003832325,0.820366533646768,0.8447861548271762,0.817651173460869,1000,0.05
11,dataset,satimage,1000,dros,q_good,3.7216423600254616,0.8258328426662648,0.8166729132436105,0.8347116296154394,0.817651173460869,1000,0.05
11,dataset,pendigits,1000,dm,q_good,nan,0.8828081729683064,0.8785056455195136,0.8870626972512269,0.903319653688827,1000,0.05
11,dataset,pendigits,1000,ips,q_good,nan,0.9033178731943279,0.8740349830704313,0.9330900413889194,0.903319653688827,1000,0.05
11,dataset,pendigits,1000,snips,q_good,nan,0.8978512488109478,0.8881209351999102,0.9077913052479236,0.903319653688827,1000,0.05
11,dataset,pendigits,1000,clipped_ips,q_good,2.3034985728349184,0.8835980507249673,0.8553832154761988,0.9129313310068478,0.903319653688827,1000,0.05
11,dataset,pendigits,1000,dr,q_good,nan,0.8973401509227764,0.8883634983280088,0.9063830381816703,0.903319653688827,1000,0.05
11,dataset,pendigits,1000,switch_dr,q_good,2.4951742495430684,0.8918512558290961,0.8855025377440032,0.8983139710456883,0.903319653688827,1000,0.05
11,dataset,pendigits,1000,dros,q_good,5.306105675052506,0.8890244400290609,0.8834892779923122,0.894743397359017,0.903319653688827,1000,0.05
11,dataset,letter,1000,dm,q_good,nan,0.5408504030435781,0.5352110869610995,0.5472910259992774,0.5804641881009724,1000,0.05
11,dataset,letter,1000,ips,q_good,nan,0.5893535892107923,0.5598893184791848,0.6201008917960932,0.5804641881009724,1000,0.05
11,dataset,letter,1000,snips,q_good,nan,0.5837875444277995,0.5667933530551926,0.5997753499527514,0.5804641881009724,1000,0.05
11,dataset,letter,1000,clipped_ips,q_good,4.288746661496994,0.5476048524957067,0.5205207600756997,0.5761783045430207,0.5804641881009724,1000,0.05
11,dataset,letter,1000,dr,q_good,nan,0.5822403847907676,0.5691750384219667,0.5947404511624316,0.5804641881009724,1000,0.05
11,dataset,letter,1000,switch_dr,q_good,4.7525702200025455,0.553204209420093,0.5442118901692877,0.5631292651452616,0.5804641881009724,1000,0.05
11,dataset,letter,1000,dros,q_good,18.393347926501608,0.5575993443027526,0.5496763126632292,0.5659351874327958,0.5804641881009724,1000,0.05
