track,axis_id,scenario,run_id,seed,estimator,estimate,ci_lo,ci_hi,hyperparam_value,incumbent_mean_r,ess_ratio_raw,max_weight_raw,support_proxy,gate_v1,mean_w,mean_w_state,harmonic_worst_t,harmonic_state,placebo_value,placebo_state,disagreement,disagreement_state,dr_correction,nc_covariate,lam_star_flip,lam_star_censored,lam_direction,protocol_verdict,decision,fragile
practitioner,19,healthy_b-2,healthy-b-2-1000,1000,ips,0.3853101763527957,0.36744077557273463,0.40298656609846606,,0.59919598439328,0.5388487683982907,9.968950614186687,0.0,trust,1.0151029369144486,pass,1.0958912218218635,pass,0.005473853939003337,pass,0.015102936914448594,pass,0.007998074547030708,0.025822883417576215,1.5939489554349673,False,below,trust,no_go,False
practitioner,19,healthy_b-2,healthy-b-2-1000,1000,snips,0.3795774421892635,0.36021954589831423,0.39780012808058324,,0.59919598439328,0.5388487683982907,9.968950614186687,0.0,trust,1.0151029369144486,pass,1.0958912218218635,pass,0.005473853939003337,pass,0.015102936914448594,pass,0.007998074547030708,0.025822883417576215,1.5939489554349673,False,below,trust,no_go,False
practitioner,19,healthy_b-2,healthy-b-2-1000,1000,clipped_ips,0.38027563615352566,0.3663748931204722,0.3944800412907889,2.1453640408633228,0.59919598439328,0.5388487683982907,9.968950614186687,0.0,trust,1.0151029369144486,pass,1.0958912218218635,pass,0.005473853939003337,pass,0.015102936914448594,pass,0.007998074547030708,0.025822883417576215,1.5939489554349673,False,below,trust,no_go,False
practitioner,19,healthy_b-2,healthy-b-2-1000,1000,dm,0.39285446065400453,0.38917827125885845,0.39658855336147253,,0.59919598439328,0.5388487683982907,9.968950614186687,0.0,trust,1.0151029369144486,pass,1.0958912218218635,pass,0.005473853939003337,pass,0.015102936914448594,pass,0.007998074547030708,0.025822883417576215,1.5939489554349673,False,below,trust,no_go,False
practitioner,19,healthy_b-2,healthy-b-2-1000,1000,dr,0.3848563861069738,0.3667945577020739,0.4021787204966489,,0.59919598439328,0.5388487683982907,9.968950614186687,0.0,trust,1.0151029369144486,pass,1.0958912218218635,pass,0.005473853939003337,pass,0.015102936914448594,pass,0.007998074547030708,0.025822883417576215,1.5939489554349673,False,below,trust,no_go,False
practitioner,19,healthy_b-2,healthy-b-2-1000,1000,switch_dr,0.38015135158153796,0.36700249951493646,0.3926997532279254,2.830516661674302,0.59919598439328,0.5388487683982907,9.968950614186687,0.0,trust,1.0151029369144486,pass,1.0958912218218635,pass,0.005473853939003337,pass,0.015102936914448594,pass,0.007998074547030708,0.025822883417576215,1.5939489554349673,False,below,trust,no_go,False
practitioner,19,healthy_b-2,healthy-b-2-1000,1000,dros,0.38959176457399286,0.38040909213252655,0.3988438776060594,4.602586867829405,0.59919598439328,0.5388487683982907,9.968950614186687,0.0,trust,1.0151029369144486,pass,1.0958912218218635,pass,0.005473853939003337,pass,0.015102936914448594,pass,0.007998074547030708,0.025822883417576215,1.5939489554349673,False,below,trust,no_go,False
practitioner,19,healthy_b2,healthy-b2-1000,1000,ips,0.6530507041773289,0.6376409643857768,0.6688169559711364,,0.59919598439328,0.911830441526083,3.5400754996437294,0.0,trust,0.9928771643055191,pass,1.0958912218218635,pass,0.005447800185136657,pass,0.044920884408515604,pass,0.004441237168553765,0.008275241103587908,1.1351171550805021,False,above,trust,go,True
practitioner,19,healthy_b2,healthy-b2-1000,1000,snips,0.6577356471221834,0.6442570368574223,0.6713269359576229,,0.59919598439328,0.911830441526083,3.5400754996437294,0.0,trust,0.9928771643055191,pass,1.0958912218218635,pass,0.005447800185136657,pass,0.044920884408515604,pass,0.004441237168553765,0.008275241103587908,1.1351171550805021,False,above,trust,go,True
practitioner,19,healthy_b2,healthy-b2-1000,1000,clipped_ips,0.6281895801464475,0.6141676250298143,0.6425025669721895,1.363584971901681,0.59919598439328,0.911830441526083,3.5400754996437294,0.0,trust,0.9928771643055191,pass,1.0958912218218635,pass,0.005447800185136657,pass,0.044920884408515604,pass,0.004441237168553765,0.008275241103587908,1.1351171550805021,False,above,trust,go,True
