seed,gamma,lam_star,true_rank_gap,lam_star_censored,snips_gap,snips_rank_correct,v_true_beta3,v_true_beta5,true_viol_p50,true_viol_p90,true_viol_p99,true_viol_max
1000,0.5,1.0759199806704578,0.07192929610634047,False,0.07008694840620622,True,0.7153918288961995,0.7873211250025399,1.3572593516482894,1.790801000135397,3.1825440466998773,20.731114501356878
1001,0.5,1.0753480687816555,0.07192929610634047,False,0.06930987350110662,True,0.7153918288961995,0.7873211250025399,1.3505542140558233,1.787971284059251,3.1782385149637813,15.958210868796197
1002,0.5,1.0718489075403872,0.07192929610634047,False,0.06651064202963719,True,0.7153918288961995,0.7873211250025399,1.3534079216593362,1.7969835179572233,3.244984246986969,17.124748437949027
1003,0.5,1.0732867544016569,0.07192929610634047,False,0.06808116480583903,True,0.7153918288961995,0.7873211250025399,1.3540503914781976,1.7912221589815136,3.2438752665158126,10.392870165557946
1004,0.5,1.0744119378736443,0.07192929610634047,False,0.06890757522940372,True,0.7153918288961995,0.7873211250025399,1.3550650364667813,1.7916774699464217,3.241360341303663,13.398594669926519
1005,0.5,1.0769822131366635,0.07192929610634047,False,0.07158580563601946,True,0.7153918288961995,0.7873211250025399,1.3554980842410336,1.7903715526903818,3.2161281962793384,18.18556265202272
1006,0.5,1.0739694559302269,0.07192929610634047,False,0.06868438508024954,True,0.7153918288961995,0.7873211250025399,1.3521746832013313,1.7898681092938244,3.2673396114900655,10.406997087526097
1007,0.5,1.075158708195527,0.07192929610634047,False,0.06892492540651096,True,0.7153918288961995,0.7873211250025399,1.3529711375201083,1.7866569212936436,3.2446477187396847,15.036062326604204
1008,0.5,1.0709415645333935,0.07192929610634047,False,0.06558333479246736,True,0.7153918288961995,0.7873211250025399,1.3529655600991466,1.7942612003077019,3.161038102213287,11.620368638141173
1009,0.5,1.0758617158550492,0.07192929610634047,False,0.06944384126299141,True,0.7153918288961995,0.7873211250025399,1.3530390618394028,1.789539512706889,3.3320388900436315,13.043061072069742
1010,0.5,1.0739425322999736,0.07192929610634047,False,0.0685607307315238,True,0.7153918288961995,0.7873211250025399,1.3511981825757489,1.7931543397347967,3.206079549355828,13.05933457261477
1011,0.5,1.0722712211755627,0.07192929610634047,False,0.06648252190020287,True,0.7153918288961995,0.7873211250025399,1.3511577515868423,1.7893657077858776,3.189546051451954,12.820225412290055
1012,0.5,1.0720657103461786,0.07192929610634047,False,0.06618538941534857,True,0.7153918288961995,0.7873211250025399,1.355356270521018,1.7986236539279468,3.292232133879501,11.215723124071554
1013,0.5,1.0743565399572303,0.07192929610634047,False,0.06802883286955941,True,0.7153918288961995,0.7873211250025399,1.3524044889236078,1.7974369076070573,3.1759899561986873,12.608962267521644
1014,0.5,1.0745466700495352,0.07192929610634047,False,0.06904356766454578,True,0.7153918288961995,0.7873211250025399,1.3569978686441626,1.800783990136671,3.29079989801998,23.325910082859874
1015,0.5,1.0741024361513376,0.07192929610634047,False,0.06788065461754156,True,0.7153918288961995,0.7873211250025399,1.3591349424244992,1.791876267685763,3.2270715075277856,25.285032459137952
1016,0.5,1.0737733892012205,0.07192929610634047,False,0.06820872078185292,True,0.7153918288961995,0.7873211250025399,1.3534733545209234,1.7961708209761191,3.228678552591435,9.947703901926387
1017,0.5,1.0725503752126928,0.07192929610634047,False,0.06707593119440436,True,0.7153918288961995,0.7873211250025399,1.3499932261791014,1.7918962793810143,3.2453514765740743,13.19345334713697
1018,0.5,1.0731958782671283,0.07192929610634047,False,0.0675467024243609,True,0.7153918288961995,0.7873211250025399,1.3483417997217995,1.788008129108003,3.1854401441673605,26.600202361942518
1019,0.5,1.0763367779117743,0.07192929610634047,False,0.07093309913132251,True,0.7153918288961995,0.7873211250025399,1.3527419759882853,1.7903567959053888,3.2330006686333514,14.895458257829194
1000,1.5,1.0384453959354734,0.07192929610634047,False,0.05545602578652031,True,0.7153918288961995,0.7873211250025399,1.787830952904579,2.1141501424129863,6.82785262622734,344.03361705368746
1001,1.5,1.038835513061817,0.07192929610634047,False,0.055340223169178304,True,0.7153918288961995,0.7873211250025399,1.781137072800473,2.1208148178148636,6.935057346049322,416.643007869074
1002,1.5,1.0357545690542884,0.07192929610634047,False,0.05141505866026708,True,0.7153918288961995,0.7873211250025399,1.7817117633094577,2.1150437414350405,7.010937331460133,769.3245526732228
1003,1.5,1.0372391349784456,0.07192929610634047,False,0.053565225058221366,True,0.7153918288961995,0.7873211250025399,1.7825680996790874,2.1067639829820153,6.429139131458357,161.7275684622973
1004,1.5,1.0368148264197097,0.07192929610634047,False,0.052663469108588545,True,0.7153918288961995,0.7873211250025399,1.7831932813023523,2.112689650012049,6.9243057510865285,223.8030244749571
1005,1.5,1.0382325729966002,0.07192929610634047,False,0.05490952153154938,True,0.7153918288961995,0.7873211250025399,1.7855280999878373,2.103999999621868,6.246776895661581,316.54848455738204
1006,1.5,1.0376283490974898,0.07192929610634047,False,0.05381556163797985,True,0.7153918288961995,0.7873211250025399,1.7810624941730793,2.1108558339357413,7.355362973429805,813.9828153300077
1007,1.5,1.0401568865134891,0.07192929610634047,False,0.05711209871790612,True,0.7153918288961995,0.7873211250025399,1.7815999355848477,2.1083956043778382,6.9415057570791205,302.1503606506632
1008,1.5,1.036869444588463,0.07192929610634047,False,0.05298872481522254,True,0.7153918288961995,0.7873211250025399,1.7813036455030482,2.111745908624693,6.838541231112077,107.76923397907517
1009,1.5,1.038621856714341,0.07192929610634047,False,0.05518155693875415,True,0.7153918288961995,0.7873211250025399,1.7821147122006513,2.111029700085463,6.764231794084107,237.8771035000213
1010,1.5,1.036955887919109,0.07192929610634047,False,0.05307303962238541,True,0.7153918288961995,0.7873211250025399,1.780957584376501,2.1120457630698453,7.163650405136333,664.4642371565195
1011,1.5,1.036328858079782,0.07192929610634047,False,0.052479750903840716,True,0.7153918288961995,0.7873211250025399,1.7827850390241542,2.1098395543202,6.503658532063091,574.8693886139084
1012,1.5,1.0362208810868858,0.07192929610634047,False,0.05172112338928536,True,0.7153918288961995,0.7873211250025399,1.7843763908825947,2.1153034089167044,7.235390771423609,4063.043866466954
1013,1.5,1.036589862383137,0.07192929610634047,False,0.05228576488576975,True,0.7153918288961995,0.7873211250025399,1.7828594705499348,2.1172743154707705,7.568897363355282,366.3793035208025
1014,1.5,1.0386081044914954,0.07192929610634047,False,0.05547693863181524,True,0.7153918288961995,0.7873211250025399,1.7859331751640177,2.111921185716263,6.763709335317746,549.7681332871393
1015,1.5,1.0363381861517773,0.07192929610634047,False,0.052250540518914534,True,0.7153918288961995,0.7873211250025399,1.7879723855438299,2.115811530806913,6.877276477353622,203.0739494364474
1016,1.5,1.0350266189592892,0.07192929610634047,False,0.050226583634856437,True,0.7153918288961995,0.7873211250025399,1.7829408728582208,2.1109698575892226,7.0737041607357805,458.8573511962496
