source_axis,knob_name,knob_value,seed,estimator,variant,ess_ratio_raw,max_weight_raw,support_proxy,rel_err,gate,large_err
01,n,250,1000,dm,,0.843036635872129,2.1889223581635027,0.0,0.030333008820879873,trust,False
01,n,250,1000,ips,,0.843036635872129,2.1889223581635027,0.0,0.040607168455800806,trust,False
01,n,250,1000,snips,,0.843036635872129,2.1889223581635027,0.0,0.035447488424453624,trust,False
01,n,250,1000,clipped_ips,,0.843036635872129,2.1889223581635027,0.0,0.0034455013723459515,trust,False
01,n,250,1000,dr,,0.843036635872129,2.1889223581635027,0.0,0.032255766840476145,trust,False
01,n,250,1000,switch_dr,,0.843036635872129,2.1889223581635027,0.0,0.0016581341115039473,trust,False
01,n,250,1000,dros,,0.843036635872129,2.1889223581635027,0.0,0.004518148721174665,trust,False
01,n,250,1001,dm,,0.8342817407249522,2.1117123400722164,0.0,0.02724001133256352,trust,False
01,n,250,1001,ips,,0.8342817407249522,2.1117123400722164,0.0,0.053642241603753936,trust,False
01,n,250,1001,snips,,0.8342817407249522,2.1117123400722164,0.0,0.017806048207005938,trust,False
01,n,250,1001,clipped_ips,,0.8342817407249522,2.1117123400722164,0.0,0.029895514363124324,trust,False
01,n,250,1001,dr,,0.8342817407249522,2.1117123400722164,0.0,0.0016043838907465028,trust,False
01,n,250,1001,switch_dr,,0.8342817407249522,2.1117123400722164,0.0,0.006607752696313643,trust,False
01,n,250,1001,dros,,0.8342817407249522,2.1117123400722164,0.0,0.014279234717154716,trust,False
01,n,250,1002,dm,,0.8382216003490685,2.3678517549181004,0.0,0.027946242458652643,trust,False
01,n,250,1002,ips,,0.8382216003490685,2.3678517549181004,0.0,0.03255124789815099,trust,False
01,n,250,1002,snips,,0.8382216003490685,2.3678517549181004,0.0,0.020052199320002864,trust,False
01,n,250,1002,clipped_ips,,0.8382216003490685,2.3678517549181004,0.0,0.013657615267902472,trust,False
01,n,250,1002,dr,,0.8382216003490685,2.3678517549181004,0.0,0.01630512835318051,trust,False
01,n,250,1002,switch_dr,,0.8382216003490685,2.3678517549181004,0.0,0.031384301006652966,trust,False
01,n,250,1002,dros,,0.8382216003490685,2.3678517549181004,0.0,0.010265226993215228,trust,False
01,n,250,1003,dm,,0.8221961901644892,2.363641856061493,0.0,0.024713788082867887,trust,False
01,n,250,1003,ips,,0.8221961901644892,2.363641856061493,0.0,0.01840512124599866,trust,False
01,n,250,1003,snips,,0.8221961901644892,2.363641856061493,0.0,0.026676688441607876,trust,False
01,n,250,1003,clipped_ips,,0.8221961901644892,2.363641856061493,0.0,0.050194838874154823,trust,False
01,n,250,1003,dr,,0.8221961901644892,2.363641856061493,0.0,0.03230920441161789,trust,False
01,n,250,1003,switch_dr,,0.8221961901644892,2.363641856061493,0.0,0.0384554081644549,trust,False
01,n,250,1003,dros,,0.8221961901644892,2.363641856061493,0.0,0.03942026139916611,trust,False
01,n,250,1004,dm,,0.808673900234151,2.5893514832325057,0.0,0.029409036704929066,trust,False
01,n,250,1004,ips,,0.808673900234151,2.5893514832325057,0.0,0.10902269886519748,trust,True
01,n,250,1004,snips,,0.808673900234151,2.5893514832325057,0.0,0.07499764052538502,trust,False
01,n,250,1004,clipped_ips,,0.808673900234151,2.5893514832325057,0.0,0.15007238162115308,trust,True
01,n,250,1004,dr,,0.808673900234151,2.5893514832325057,0.0,0.05255048142594297,trust,False
01,n,250,1004,switch_dr,,0.808673900234151,2.5893514832325057,0.0,0.07003828031851526,trust,False
01,n,250,1004,dros,,0.808673900234151,2.5893514832325057,0.0,0.04378700828837544,trust,False
01,n,250,1005,dm,,0.8207216815904795,2.410630943575449,0.0,0.03951182649862003,trust,False
01,n,250,1005,ips,,0.8207216815904795,2.410630943575449,0.0,0.07344932309533451,trust,False
01,n,250,1005,snips,,0.8207216815904795,2.410630943575449,0.0,0.0533779453523214,trust,False
01,n,250,1005,clipped_ips,,0.8207216815904795,2.410630943575449,0.0,0.03911544192680233,trust,False
01,n,250,1005,dr,,0.8207216815904795,2.410630943575449,0.0,0.04627149736867236,trust,False
01,n,250,1005,switch_dr,,0.8207216815904795,2.410630943575449,0.0,0.029786047068026848,trust,False
01,n,250,1005,dros,,0.8207216815904795,2.410630943575449,0.0,0.009036916609946183,trust,False
01,n,250,1006,dm,,0.7870433056240043,2.525404515732348,0.0,0.012182766329115578,trust,False
01,n,250,1006,ips,,0.7870433056240043,2.525404515732348,0.0,0.08359009296619413,trust,False
01,n,250,1006,snips,,0.7870433056240043,2.525404515732348,0.0,0.04755981573301511,trust,False
01,n,250,1006,clipped_ips,,0.7870433056240043,2.525404515732348,0.0,0.11202064303711769,trust,True
01,n,250,1006,dr,,0.7870433056240043,2.525404515732348,0.0,0.03469323499342173,trust,False
01,n,250,1006,switch_dr,,0.7870433056240043,2.525404515732348,0.0,0.021963035687406873,trust,False
01,n,250,1006,dros,,0.7870433056240043,2.525404515732348,0.0,0.02217174064019169,trust,False
01,n,250,1007,dm,,0.8155814725840913,2.3427284966302184,0.0,0.03141718858465835,trust,False
01,n,250,1007,ips,,0.8155814725840913,2.3427284966302184,0.0,0.10430403471467985,trust,True
01,n,250,1007,snips,,0.8155814725840913,2.3427284966302184,0.0,0.06435757716739854,trust,False
01,n,250,1007,clipped_ips,,0.8155814725840913,2.3427284966302184,0.0,0.13059658662549883,trust,True
01,n,250,1007,dr,,0.8155814725840913,2.3427284966302184,0.0,0.04269465067628921,trust,False
01,n,250,1007,switch_dr,,0.8155814725840913,2.3427284966302184,0.0,0.018921807006523687,trust,False
01,n,250,1007,dros,,0.8155814725840913,2.3427284966302184,0.0,0.03595641730619654,trust,False
01,n,250,1008,dm,,0.8270261727826023,2.0934223632053666,0.0,0.021478188364995005,trust,False
01,n,250,1008,ips,,0.8270261727826023,2.0934223632053666,0.0,0.031160089190766464,trust,False
01,n,250,1008,snips,,0.8270261727826023,2.0934223632053666,0.0,0.039295329161466934,trust,False
01,n,250,1008,clipped_ips,,0.8270261727826023,2.0934223632053666,0.0,0.04936317123413184,trust,False
01,n,250,1008,dr,,0.8270261727826023,2.0934223632053666,0.0,0.04483320766326323,trust,False
