axis_id,scenario,run_id,seed,estimator,truth_kind,v_true,v_true_lo,v_true_hi,estimate,ci_lo,ci_hi,rel_err,large_err,ci_covers_truth,protocol_verdict,decision
19,healthy_b-2,healthy-b-2-1000,1000,ips,exact_synthetic,0.3795877756836339,0.3795877756836339,0.3795877756836339,0.3853101763527957,0.3674407755727346,0.402986566098466,0.015075302830434437,False,True,trust,no_go
19,healthy_b-2,healthy-b-2-1000,1000,snips,exact_synthetic,0.3795877756836339,0.3795877756836339,0.3795877756836339,0.3795774421892635,0.3602195458983142,0.3978001280805832,2.7222937703398004e-05,False,True,trust,no_go
19,healthy_b-2,healthy-b-2-1000,1000,clipped_ips,exact_synthetic,0.3795877756836339,0.3795877756836339,0.3795877756836339,0.3802756361535256,0.3663748931204722,0.3944800412907889,0.0018121249259223145,False,True,trust,no_go
19,healthy_b-2,healthy-b-2-1000,1000,dm,exact_synthetic,0.3795877756836339,0.3795877756836339,0.3795877756836339,0.3928544606540045,0.3891782712588584,0.3965885533614725,0.03495024292201565,False,False,trust,no_go
19,healthy_b-2,healthy-b-2-1000,1000,dr,exact_synthetic,0.3795877756836339,0.3795877756836339,0.3795877756836339,0.3848563861069738,0.3667945577020739,0.4021787204966489,0.013879821113446579,False,True,trust,no_go
19,healthy_b-2,healthy-b-2-1000,1000,switch_dr,exact_synthetic,0.3795877756836339,0.3795877756836339,0.3795877756836339,0.3801513515815379,0.3670024995149364,0.3926997532279254,0.0014847050774725742,False,True,trust,no_go
19,healthy_b-2,healthy-b-2-1000,1000,dros,exact_synthetic,0.3795877756836339,0.3795877756836339,0.3795877756836339,0.3895917645739928,0.3804090921325265,0.3988438776060594,0.026354876345377115,False,False,trust,no_go
19,healthy_b2,healthy-b2-1000,1000,ips,exact_synthetic,0.6545195982205594,0.6545195982205594,0.6545195982205594,0.6530507041773289,0.6376409643857768,0.6688169559711364,0.0022442323304358667,False,True,trust,go
19,healthy_b2,healthy-b2-1000,1000,snips,exact_synthetic,0.6545195982205594,0.6545195982205594,0.6545195982205594,0.6577356471221834,0.6442570368574223,0.6713269359576229,0.0049136021447905185,False,True,trust,go
19,healthy_b2,healthy-b2-1000,1000,clipped_ips,exact_synthetic,0.6545195982205594,0.6545195982205594,0.6545195982205594,0.6281895801464475,0.6141676250298143,0.6425025669721895,0.04022800561770065,False,False,trust,go
19,healthy_b2,healthy-b2-1000,1000,dm,exact_synthetic,0.6545195982205594,0.6545195982205594,0.6545195982205594,0.6689940466674233,0.665406671643203,0.6728140767520382,0.022114614270093067,False,False,trust,go
19,healthy_b2,healthy-b2-1000,1000,dr,exact_synthetic,0.6545195982205594,0.6545195982205594,0.6545195982205594,0.6645528094988696,0.6525451135468594,0.6767607860342693,0.015329122772774893,False,True,trust,go
19,healthy_b2,healthy-b2-1000,1000,switch_dr,exact_synthetic,0.6545195982205594,0.6545195982205594,0.6545195982205594,0.6764744965440651,0.665008970742555,0.6875185334235601,0.03354353083268163,False,False,trust,go
19,healthy_b2,healthy-b2-1000,1000,dros,exact_synthetic,0.6545195982205594,0.6545195982205594,0.6545195982205594,0.6694244351101186,0.6611638655283609,0.6771665166038319,0.022772178144215963,False,False,trust,go
19,healthy_b8,healthy-b8-1000,1000,ips,exact_synthetic,0.8334185847746572,0.8334185847746572,0.8334185847746572,0.8123288097771048,0.7761283093178349,0.8469602481276216,0.025305141237346923,False,True,trust,go
19,healthy_b8,healthy-b8-1000,1000,snips,exact_synthetic,0.8334185847746572,0.8334185847746572,0.8334185847746572,0.8349143956455467,0.8147375339576062,0.8551229739665294,0.0017947894350039011,False,True,trust,go
19,healthy_b8,healthy-b8-1000,1000,clipped_ips,exact_synthetic,0.8334185847746572,0.8334185847746572,0.8334185847746572,0.679243763081899,0.6531744217799919,0.7056500944789668,0.18499086114625649,True,False,trust,go
19,healthy_b8,healthy-b8-1000,1000,dm,exact_synthetic,0.8334185847746572,0.8334185847746572,0.8334185847746572,0.8523455025987361,0.847626452311891,0.8578452060705719,0.022709978118854137,False,False,trust,go
19,healthy_b8,healthy-b8-1000,1000,dr,exact_synthetic,0.8334185847746572,0.8334185847746572,0.8334185847746572,0.8448121507762393,0.8268636899083721,0.8657555710627579,0.013670880647163236,False,True,trust,go
19,healthy_b8,healthy-b8-1000,1000,switch_dr,exact_synthetic,0.8334185847746572,0.8334185847746572,0.8334185847746572,0.8671517211636275,0.8550094959062998,0.8814477727152215,0.040475622940531295,False,False,trust,go
19,healthy_b8,healthy-b8-1000,1000,dros,exact_synthetic,0.8334185847746572,0.8334185847746572,0.8334185847746572,0.855942084769571,0.8468640898161747,0.8663485740571817,0.027025435245128054,False,False,trust,go
19,healthy_b-2,healthy-b-2-1001,1001,ips,exact_synthetic,0.39279236287301683,0.39279236287301683,0.39279236287301683,0.3885082615856416,0.3737204502632841,0.4041133635191899,0.010906783563814344,False,True,trust,no_go
19,healthy_b-2,healthy-b-2-1001,1001,snips,exact_synthetic,0.39279236287301683,0.39279236287301683,0.39279236287301683,0.3871813034464221,0.371130835944267,0.4046282850255812,0.0142850522488613,False,True,trust,no_go
19,healthy_b-2,healthy-b-2-1001,1001,clipped_ips,exact_synthetic,0.39279236287301683,0.39279236287301683,0.39279236287301683,0.3794209696791484,0.3673653095907301,0.3923828205352914,0.034041886904484384,False,False,trust,no_go
19,healthy_b-2,healthy-b-2-1001,1001,dm,exact_synthetic,0.39279236287301683,0.39279236287301683,0.39279236287301683,0.3997513279229043,0.3960409764185419,0.4030092852613169,0.017716650596226544,False,False,trust,no_go
19,healthy_b-2,healthy-b-2-1001,1001,dr,exact_synthetic,0.39279236287301683,0.39279236287301683,0.39279236287301683,0.3916194608963267,0.3764398329719172,0.4080205216969778,0.002986061052997869,False,True,trust,no_go
19,healthy_b-2,healthy-b-2-1001,1001,switch_dr,exact_synthetic,0.39279236287301683,0.39279236287301683,0.39279236287301683,0.3802923982562778,0.368325267285641,0.3923370642351535,0.03182333924547319,False,False,trust,no_go
19,healthy_b-2,healthy-b-2-1001,1001,dros,exact_synthetic,0.39279236287301683,0.39279236287301683,0.39279236287301683,0.3938810341560015,0.3848743145223133,0.4028442630885935,0.002771620290735199,False,True,trust,no_go
19,healthy_b2,healthy-b2-1001,1001,ips,exact_synthetic,0.6446668868562586,0.6446668868562586,0.6446668868562586,0.6430327339424375,0.6279199181078894,0.6617938140423769,0.002534879558945675,False,True,trust,go
19,healthy_b2,healthy-b2-1001,1001,snips,exact_synthetic,0.6446668868562586,0.6446668868562586,0.6446668868562586,0.6410698871747781,0.6266488520059678,0.6562124394850064,0.00557962531474422,False,True,trust,go
19,healthy_b2,healthy-b2-1001,1001,clipped_ips,exact_synthetic,0.6446668868562586,0.6446668868562586,0.6446668868562586,0.6184255316018998,0.6037503494245987,0.6350289027504915,0.04070529414396588,False,False,trust,go
19,healthy_b2,healthy-b2-1001,1001,dm,exact_synthetic,0.6446668868562586,0.6446668868562586,0.6446668868562586,0.6444689601432783,0.640471621937379,0.6479008869083969,0.00030702168362571424,False,True,trust,go
19,healthy_b2,healthy-b2-1001,1001,dr,exact_synthetic,0.6446668868562586,0.6446668868562586,0.6446668868562586,0.637506699245767,0.6231259178091759,0.6502279087672395,0.011106802220614364,False,True,trust,go
19,healthy_b2,healthy-b2-1001,1001,switch_dr,exact_synthetic,0.6446668868562586,0.6446668868562586,0.6446668868562586,0.6477557569989135,0.6351289335884377,0.6605451711867504,0.00479142050822231,False,True,trust,go
19,healthy_b2,healthy-b2-1001,1001,dros,exact_synthetic,0.6446668868562586,0.6446668868562586,0.6446668868562586,0.6439031371648974,0.6354935204325176,0.6521136889309885,0.0011847199025307841,False,True,trust,go
