mode,gamma,mean_w_mean,mean_w_sd,bias_ips,bias_snips,se_snips,lam_star_med,verdict_nontrust,cal_arm_fire_rate
as_recorded,0.0,0.9983805815010802,0.004206088322203884,-0.0020853896161913132,-0.0009399423509675042,0.0010558687101337402,1.310526021069788,0.1,0.0
as_recorded,0.5,0.998165831750419,0.005085150143132431,-0.007856255422376557,-0.006568223481945745,0.0011757285803909146,1.2676267208322276,0.05,0.0
as_recorded,1.0,0.9965003376663828,0.003999004753023549,-0.02086139299491918,-0.018426533511150422,0.0013333071916575526,1.1946262200773032,0.075,0.0
as_recorded,1.5,0.9959468224543748,0.0033409279385419803,-0.033592948762028896,-0.03081673014025077,0.0015554349749646178,1.1345907306764391,0.075,0.0
as_recorded,2.0,0.9954405302616793,0.003134211132879664,-0.04634782192427045,-0.04328142212488273,0.0018375143791228704,1.0956172120047483,0.05,0.0
as_recorded,2.5,0.994517998784735,0.0026502947517598246,-0.05935496722209688,-0.05573858734598125,0.002205730882423518,1.0674915715014834,0.05,0.0
calibrated,0.0,0.9983805815010802,0.004206088322203881,-0.0020853896161913132,-0.0009399423509673932,0.0010558687101337382,1.310526021069788,0.1,0.0
calibrated,0.5,0.9995444030131588,0.005104856677040465,-0.006855696031063396,-0.006544966596092605,0.0011779736533005657,1.2677504654434402,0.05,0.0
calibrated,1.0,0.9996357602713596,0.004059882678912091,-0.020944963772537073,-0.02069610946708511,0.001341440152378633,1.1902450132229516,0.075,0.0
calibrated,1.5,1.0002635056160387,0.0034286427377652065,-0.03726631375677869,-0.03744340506002164,0.0015753965953644211,1.124811113672726,0.075,0.0
calibrated,2.0,1.0004488035293448,0.0032415932410872266,-0.054854069822413476,-0.05514850771793256,0.0018636722180238776,1.0809588889865012,0.05,0.0
calibrated,2.5,1.000071131612922,0.0027017500785308755,-0.0731984442223309,-0.07324330015225011,0.0022330397191736994,1.0503208135999729,0.05,0.0
