axis_id,scenario,run_id,seed,estimator,truth_kind,v_true,v_true_lo,v_true_hi,estimate,ci_lo,ci_hi,rel_err,large_err,ci_covers_truth,protocol_verdict,decision
18,as_recorded_g0.0,as_recorded-g0.0-1000,1000,ips,exact_synthetic,0.7153918288961995,0.7153918288961995,0.7153918288961995,0.7205525468101174,0.7041257538382888,0.7349633773488,0.007213834021392943,False,True,trust,go
18,as_recorded_g0.0,as_recorded-g0.0-1000,1000,snips,exact_synthetic,0.7153918288961995,0.7153918288961995,0.7153918288961995,0.7224472703288193,0.7100771454411835,0.7340391136973339,0.009862345567331803,False,True,trust,go
18,as_recorded_g0.0,as_recorded-g0.0-1000,1000,clipped_ips,exact_synthetic,0.7153918288961995,0.7153918288961995,0.7153918288961995,0.6997913847874564,0.6838396238273454,0.7135400224736826,0.021806852522782482,False,False,trust,go
18,as_recorded_g0.0,as_recorded-g0.0-1000,1000,dm,exact_synthetic,0.7153918288961995,0.7153918288961995,0.7153918288961995,0.7140989144857544,0.7115097051754,0.7165832096180682,0.0018072814899772883,False,True,trust,go
18,as_recorded_g0.0,as_recorded-g0.0-1000,1000,dr,exact_synthetic,0.7153918288961995,0.7153918288961995,0.7153918288961995,0.7241172278528147,0.7125786694717828,0.7361996625846703,0.012196671256474896,False,True,trust,go
18,as_recorded_g0.0,as_recorded-g0.0-1000,1000,switch_dr,exact_synthetic,0.7153918288961995,0.7153918288961995,0.7153918288961995,0.7240948266564035,0.7139217566129449,0.735142925527064,0.012165358071858508,False,True,trust,go
18,as_recorded_g0.0,as_recorded-g0.0-1000,1000,dros,exact_synthetic,0.7153918288961995,0.7153918288961995,0.7153918288961995,0.7186490414215265,0.7111673397396379,0.7261372463230106,0.004553046867131156,False,True,trust,go
18,calibrated_g0.0,calibrated-g0.0-1000,1000,ips,exact_synthetic,0.7153918288961995,0.7153918288961995,0.7153918288961995,0.7205525468101173,0.7041257538382888,0.7349633773488001,0.007213834021392787,False,True,trust,go
18,calibrated_g0.0,calibrated-g0.0-1000,1000,snips,exact_synthetic,0.7153918288961995,0.7153918288961995,0.7153918288961995,0.7224472703288193,0.7100771454411835,0.7340391136973339,0.009862345567331803,False,True,trust,go
18,calibrated_g0.0,calibrated-g0.0-1000,1000,clipped_ips,exact_synthetic,0.7153918288961995,0.7153918288961995,0.7153918288961995,0.6997913847874564,0.6838396238273454,0.7135400224736826,0.021806852522782482,False,False,trust,go
18,calibrated_g0.0,calibrated-g0.0-1000,1000,dm,exact_synthetic,0.7153918288961995,0.7153918288961995,0.7153918288961995,0.7140989144857544,0.7115097051754,0.7165832096180682,0.0018072814899772883,False,True,trust,go
18,calibrated_g0.0,calibrated-g0.0-1000,1000,dr,exact_synthetic,0.7153918288961995,0.7153918288961995,0.7153918288961995,0.7241172278528147,0.7125786694717828,0.7361996625846703,0.012196671256474896,False,True,trust,go
